province,city,area,population,lng,lat
北京市,北京市,东城区,708829,116.416334,39.928359
北京市,北京市,西城区,1106214,116.365850,39.912600
北京市,北京市,朝阳区,3452460,116.443136,39.921444
北京市,北京市,丰台区,2019764,116.286726,39.858538
北京市,北京市,石景山区,567851,116.223015,39.906304
北京市,北京市,海淀区,3133469,116.297700,39.959893
北京市,北京市,门头沟区,392606,116.101668,39.940842
北京市,北京市,房山区,1312778,116.143426,39.748889
北京市,北京市,通州区,1840295,116.729230,39.916403
北京市,北京市,顺义区,1324044,116.661474,40.149891
北京市,北京市,昌平区,2269487,116.234890,40.220415
北京市,北京市,大兴区,1993591,116.352296,39.671114
北京市,北京市,怀柔区,441040,116.631974,40.317003
北京市,北京市,平谷区,457313,117.121589,40.140805
北京市,北京市,密云区,527683,116.843351,40.377058
北京市,北京市,延庆区,345671,115.974609,40.457033
天津市,天津市,和平区,355000,117.214713,39.116884
天津市,天津市,河东区,858787,117.251584,39.128294
天津市,天津市,河西区,822174,117.223379,39.109679
天津市,天津市,南开区,917106,117.150638,39.138551
天津市,天津市,河北区,647702,117.196874,39.148018
天津市,天津市,红桥区,483130,117.151566,39.167349
天津市,天津市,东丽区,936322,117.313567,39.086789
天津市,天津市,西青区,1180770,117.008994,39.141811
天津市,天津市,津南区,928066,117.356683,38.936971
天津市,天津市,北辰区,909643,117.135614,39.224638
天津市,天津市,武清区,1153235,117.044560,39.384108
天津市,天津市,宝坻区,722367,117.309748,39.717054
天津市,天津市,滨海新区,1973752,117.797587,39.241340
天津市,天津市,宁河区,395333,117.826674,39.329749
天津市,天津市,静海区,787106,116.937187,38.938952
天津市,天津市,蓟州区,795516,117.408432,40.046544
河北省,石家庄市,长安区,1059572,114.538955,38.036820
河北省,石家庄市,桥西区,979646,114.450040,38.025245
河北省,石家庄市,新华区,802057,114.463904,38.050749
河北省,石家庄市,井陉矿区,77015,114.062258,38.065446
河北省,石家庄市,裕华区,771255,114.531599,38.007002
河北省,石家庄市,石家庄高新技术产业开发区,304675,114.469278,38.008091
河北省,石家庄市,裕华区（含石家庄高新技术产业开发区）,1075930,114.531599,38.007002
河北省,石家庄市,藁城区,741068,114.846562,38.022177
河北省,石家庄市,石家庄循环化工园区,56147,114.694416,37.996875
河北省,石家庄市,藁城区（含石家庄循环化工园区）,797215,114.846562,38.022177
河北省,石家庄市,鹿泉区,588279,114.313559,38.086536
河北省,石家庄市,栾城区,378689,114.647922,37.900915
河北省,石家庄市,井陉县,250989,114.145669,38.032366
河北省,石家庄市,正定县,549321,114.570430,38.146990
河北省,石家庄市,行唐县,376627,114.553044,38.437535
河北省,石家庄市,灵寿县,309121,114.383013,38.307908
河北省,石家庄市,高邑县,178368,114.611659,37.615905
河北省,石家庄市,深泽县,215806,115.200890,38.184572
河北省,石家庄市,赞皇县,242549,114.386114,37.666549
河北省,石家庄市,无极县,451377,114.976256,38.178852
河北省,石家庄市,平山县,423333,114.186007,38.260288
河北省,石家庄市,元氏县,392710,114.525508,37.767332
河北省,石家庄市,赵县,505366,114.775914,37.756935
河北省,石家庄市,辛集市,594628,115.217626,37.943239
河北省,石家庄市,晋州市,507959,115.044141,38.033937
河北省,石家庄市,新乐市,478529,114.683745,38.343952
河北省,唐山市,路南区,334204,118.154348,39.624988
河北省,唐山市,河北唐山芦台经济开发区,43558,117.747643,39.380591
河北省,唐山市,路南区（含河北唐山芦台经济开发区）,377762,118.154348,39.624988
河北省,唐山市,路北区,784667,118.201085,39.625079
河北省,唐山市,唐山高新技术产业开发区,169923,118.180799,39.677061
河北省,唐山市,路北区（含唐山高新技术产业开发区）,954590,118.201085,39.625079
河北省,唐山市,古冶区,317932,118.447134,39.733920
河北省,唐山市,开平区,279432,118.262246,39.671634
河北省,唐山市,丰南区,552532,118.085169,39.576031
河北省,唐山市,唐山市汉沽管理区,52550,117.895676,39.363247
河北省,唐山市,丰南区（含唐山市汉沽管理区）,605082,118.085169,39.576031
河北省,唐山市,丰润区,800740,118.162426,39.832919
河北省,唐山市,曹妃甸区,352069,118.460197,39.273528
河北省,唐山市,滦南县,508538,118.683630,39.520272
河北省,唐山市,乐亭县,389198,118.912450,39.425748
河北省,唐山市,河北唐山海港经济开发区,98218,119.000426,39.235041
河北省,唐山市,乐亭县（含河北唐山海港经济开发区）,487416,118.912450,39.425748
河北省,唐山市,迁西县,365615,118.314670,40.141486
河北省,唐山市,玉田县,664906,117.738196,39.901827
河北省,唐山市,遵化市,707047,117.965878,40.189119
河北省,唐山市,迁安市,776752,118.701021,39.998861
河北省,唐山市,滦州市,520102,118.703010,39.740963
河北省,秦皇岛市,海港区,1024876,119.564962,39.947560
河北省,秦皇岛市,秦皇岛市经济技术开发区,197898,119.512539,39.949671
河北省,秦皇岛市,海港区（含秦皇岛市经济技术开发区）,1222774,119.564962,39.947560
河北省,秦皇岛市,山海关区,164989,119.775187,39.978882
河北省,秦皇岛市,北戴河区,130104,119.484490,39.834912
河北省,秦皇岛市,抚宁区,291211,119.244847,39.876253
河北省,秦皇岛市,青龙满族自治县,431138,118.949850,40.407473
河北省,秦皇岛市,昌黎县,487989,119.199846,39.699677
河北省,秦皇岛市,北戴河新区,74732,119.385752,39.768808
河北省,秦皇岛市,昌黎县（含北戴河新区）,562721,119.199846,39.699677
河北省,秦皇岛市,卢龙县,333942,118.891931,39.892564
河北省,邯郸市,邯山区,614303,114.531062,36.594570
河北省,邯郸市,邯郸冀南新区,285480,114.395950,36.463741
河北省,邯郸市,邯山区（含邯郸冀南新区）,899783,114.531062,36.594570
河北省,邯郸市,丛台区,572175,114.492875,36.636434
河北省,邯郸市,邯郸经济技术开发区,294436,114.564058,36.675047
河北省,邯郸市,丛台区（含邯郸经济技术开发区）,866611,114.492875,36.636434
河北省,邯郸市,复兴区,319980,114.462581,36.638879
河北省,邯郸市,峰峰矿区,429245,114.212571,36.419298
河北省,邯郸市,肥乡区,372265,114.800199,36.548545
河北省,邯郸市,永年区,851227,114.536626,36.741880
河北省,邯郸市,临漳县,589003,114.585514,36.322504
河北省,邯郸市,成安县,401052,114.670094,36.445331
河北省,邯郸市,大名县,726396,115.147985,36.286406
河北省,邯郸市,涉县,379559,113.692157,36.586073
河北省,邯郸市,磁县,426345,114.373965,36.375070
河北省,邯郸市,邱县,210998,115.200049,36.811783
河北省,邯郸市,鸡泽县,297425,114.889951,36.911525
河北省,邯郸市,广平县,264025,114.948638,36.483820
河北省,邯郸市,馆陶县,307912,115.281818,36.548295
河北省,邯郸市,魏县,796806,114.939217,36.359260
河北省,邯郸市,曲周县,463727,114.957549,36.766347
河北省,邯郸市,武安市,811631,114.203685,36.697590
河北省,邢台市,襄都区,426224,114.507443,37.071314
河北省,邢台市,河北邢台经济开发区,182585,114.533750,37.010756
河北省,邢台市,襄都区（含河北邢台经济开发区）,608809,114.507443,37.071314
河北省,邢台市,信都区,798770,114.468229,37.093798
河北省,邢台市,任泽区,342869,114.671339,37.121958
河北省,邢台市,南和区,350384,114.683683,37.005626
河北省,邢台市,临城县,199793,114.498651,37.444512
河北省,邢台市,内丘县,258260,114.512226,37.287612
河北省,邢台市,柏乡县,168761,114.693447,37.482880
河北省,邢台市,隆尧县,480447,114.770509,37.351232
河北省,邢台市,宁晋县,745389,114.940006,37.624524
河北省,邢台市,巨鹿县,346007,115.037884,37.221293
河北省,邢台市,新河县,134095,115.251005,37.520891
河北省,邢台市,广宗县,280603,115.142766,37.074795
河北省,邢台市,平乡县,323675,115.030080,37.063771
河北省,邢台市,威县,496230,115.266829,36.975164
河北省,邢台市,清河县,421582,115.665081,37.045100
河北省,邢台市,临西县,326968,115.501258,36.871312
河北省,邢台市,南宫市,396718,115.408660,37.358907
河北省,邢台市,沙河市,431746,114.503023,36.855548
河北省,保定市,竞秀区,522813,115.458671,38.877318
河北省,保定市,保定高新技术产业开发区,96301,115.473713,38.896991
河北省,保定市,竞秀区（含保定高新技术产业开发区）,619114,115.458671,38.877318
河北省,保定市,莲池区,913541,115.497153,38.883528
河北省,保定市,满城区,391359,115.322246,38.949732
河北省,保定市,清苑区,625246,115.489880,38.765270
河北省,保定市,徐水区,604275,115.655772,39.018781
河北省,保定市,涞水县,315753,115.713651,39.394305
河北省,保定市,阜平县,194004,114.195118,38.849221
河北省,保定市,定兴县,512765,115.808183,39.263219
河北省,保定市,唐县,505849,114.982968,38.748477
河北省,保定市,高阳县,318986,115.779149,38.700846
河北省,保定市,容城县,273164,115.861635,39.043321
河北省,保定市,涞源县,248890,114.694416,39.360622
河北省,保定市,望都县,233790,115.155420,38.696221
河北省,保定市,安新县,453723,115.935688,38.936102
河北省,保定市,易县,485536,115.497487,39.350219
河北省,保定市,曲阳县,573975,114.740476,38.614409
河北省,保定市,蠡县,488152,115.583701,38.488064
河北省,保定市,顺平县,269678,115.135133,38.837988
河北省,保定市,博野县,225065,115.464295,38.458048
河北省,保定市,雄县,478553,116.108624,38.994825
河北省,保定市,保定白沟新城,153132,116.044687,39.128569
河北省,保定市,高碑店市,532731,115.873612,39.327233
河北省,保定市,高碑店市（含保定白沟新城）,685863,115.873612,39.327233
河北省,保定市,涿州市,667678,115.974440,39.485684
河北省,保定市,定州市,1095986,114.990321,38.516746
河北省,保定市,安国市,363091,115.327088,38.418985
河北省,张家口市,桥东区,279616,114.894114,40.788472
